advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Tobias Simon - Vihreät De Grönä		600039880201042	Facebook	w014	Week 14	FI	Finland	2	1	1712	0	169	0
Ylöjärven Kristillisdemokraatit		817620045054759	Facebook	w014	Week 14	FI	Finland	1	1	1666	333	33	0
Helena Marttila eduskuntaan		373811376519125	Facebook	w014	Week 14	FI	Finland	1	1	1666	333	33	0
Janiika Vilkuna		2167085786939019	Facebook	w014	Week 14	FI	Finland	1	1	1666	333	29	0
Helsingin Vasemmistonuoret		771403169579865	Facebook	w014	Week 14	FI	Finland	2	1	1598	0	158	0
Sari Törmänen - Oulun Vihreät		1194187497336070	Facebook	w014	Week 14	FI	Finland	1	1	1592	318	31	0
Yannick Lahti		1779172592405294	Facebook	w014	Week 14	FI	Finland	2	1	1583	316	31	0
Hanna Sarkkinen		114687075230726	Facebook	w014	Week 14	FI	Finland	1	1	1499	300	29	0
Marja Berg		293583744636957	Facebook	w014	Week 14	FI	Finland	1	1	1499	299	29	0
Plastic Free Picks		1235776649910885	Facebook	w014	Week 14	FI	Finland	2	1	1499	250	49	0
Mervi Syväranta		473351072811634	Facebook	w014	Week 14	FI	Finland	1	1	1497	299	29	0
Ibiza Farm		1629229957352206	Facebook	w014	Week 14	FI	Finland	1	1	1429	714	0	0
Markus Blomquist		1843887682545574	Facebook	w014	Week 14	FI	Finland	1	1	1428	285	28	0
Eduskuntavaaliehdokas Elina Nykyri		168660743577147	Facebook	w014	Week 14	FI	Finland	2	1	1373	249	37	0
Mika Pietilä - eduskuntavaaliehdokas		102870313576201	Facebook	w014	Week 14	FI	Finland	2	1	1337	0	132	0
Farö		394837154049952	Facebook	w014	Week 14	FI	Finland	2	1	1332	0	132	0
Democracy Alive		277008469606499	Facebook	w014	Week 14	FI	Finland	1	1	1327	663	6	1
Mirka Soinikoski		462443860467168	Facebook	w014	Week 14	FI	Finland	1	1	1249	249	24	0
Timo Kaunisto - kokoava voima		318735854864943	Facebook	w014	Week 14	FI	Finland	1	1	1249	250	24	0
Ville Nissi, kansanedustajaehdokas		473106459885125	Facebook	w014	Week 14	FI	Finland	1	1	1249	250	24	0
Kalervo Björkbacka kansanedustajaehdokas		179180925551652	Facebook	w014	Week 14	FI	Finland	1	1	1229	614	12	0
Duuers		650609281814087	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
Sandra Bergqvist		1684264761693515	Facebook	w014	Week 14	FI	Finland	1	1	999	200	19	0
Svenska Kvinnoförbundet		388661630444	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
Kimmo Kiljunen		370398429801255	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
7OMEK		2000619943333592	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
Sari Multala		1141161635903084	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
Harri Jaskari		1502705619999831	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
Vantaan Vasemmisto		185379788225991	Facebook	w014	Week 14	FI	Finland	1	1	999	0	99	0
