advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
National Commission for the Promotion of Equality		180224712010171	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Giannis Ragkousis		128851053620	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
ENA - France		496352323830242	Facebook	rw4	Last 4 weeks	1	1	49999	9999	99	0
Nacionālā apvienība		118130241644848	Facebook	rw4	Last 4 weeks	1	1	49999	25000	249	50
rbb Fernsehen		138089939576812	Facebook	rw4	Last 4 weeks	1	1	49999	25000	249	50
Cloud Forum		165150147217968	Facebook	rw4	Last 4 weeks	1	1	49999	25000	58	11
BRITA Italia		1651664485112871	Facebook	rw4	Last 4 weeks	3	1	49999	10000	365	66
Ville de Lille		255585387808947	Facebook	rw4	Last 4 weeks	1	1	49999	25000	49	0
Wilfried Vandaele	N-VA	134830590539925	Facebook	rw4	Last 4 weeks	1	1	49998	9999	498	99
Michael Freilich - 5de plaats Kamer		609777409464271	Facebook	rw4	Last 4 weeks	1	1	49998	9999	498	99
Beatrice Brignone		454468194886964	Facebook	rw4	Last 4 weeks	1	1	49998	9999	99	0
CDU Kreisverband Steinfurt		112786405463390	Facebook	rw4	Last 4 weeks	1	1	49998	9999	99	0
Partido por la Igualdad Real		1981091215462211	Facebook	rw4	Last 4 weeks	1	1	49998	10000	498	99
Polski Biznes w UK	Krzysztof Kawulak	983420921675233	Facebook	rw4	Last 4 weeks	1	1	49998	10000	114	0
Scimenes - D'Antuono Candidati Consiglieri Comunali		453308502080164	Facebook	rw4	Last 4 weeks	1	1	49998	10000	98	0
Brexit - Time to choose a direction	Iain Macdonald	320338001965330	Facebook	rw4	Last 4 weeks	1	1	49998	10000	114	0
Παναγιώτης Καγκελάρης - Υποψήφιος Ευρωβουλευτής ΜέΡΑ25		387601332029624	Facebook	rw4	Last 4 weeks	1	1	49998	10000	98	0
Αντιγόνη Παπαδοπούλου - Η φωνή του ενεργού πολίτη		243308565736627	Facebook	rw4	Last 4 weeks	1	1	49998	10000	98	0
AJ Produkter		114041428660349	Facebook	rw4	Last 4 weeks	1	1	49998	10000	46	9
Sverigedemokraterna Eskilstuna		161935043870264	Facebook	rw4	Last 4 weeks	1	1	49998	10000	462	92
Peter De Roover		1661453500556261	Facebook	rw4	Last 4 weeks	1	1	49998	10000	98	0
Davor Škrlec	Zastupnik u Europskom parlamentu Davor Škrlec	1507744276110325	Facebook	rw4	Last 4 weeks	1	1	49998	10000	88	0
Tiziana Mossa	Pepe Giuseppe	334128537453954	Facebook	rw4	Last 4 weeks	1	1	49998	10000	98	0
Sophie Wilmès		494853240530488	Facebook	rw4	Last 4 weeks	1	1	49998	10000	98	0
