advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Violeta Alexandru	ETIS Design SRL	644108472676492	Facebook	100_1k	100 - 1k	RO	Romania	2	1	69781	27913	97	19
USR Sălaj	Uniunea Salvați Romania Filiala Salaj	665719730245460	Facebook	100_1k	100 - 1k	RO	Romania	2	1	69781	27913	97	19
Cornel Radu Loghin	RADU-LOGHIN CORNEL	429437337859107	Facebook	100_1k	100 - 1k	RO	Romania	3	1	69781	13956	146	29
PSD Vrancea	PSD Vrancea	219073074846187	Facebook	100_1k	100 - 1k	RO	Romania	3	1	69781	13956	146	29
BZI	BZI	168243139877442	Facebook	100_1k	100 - 1k	RO	Romania	3	1	69777	13955	146	29
Marius Bodea	Marius Bodea	1514760912172050	Facebook	100_1k	100 - 1k	RO	Romania	2	1	69777	27911	97	19
Partidul Mișcarea Populară Cluj-Napoca	Partidul Miscarea Populara	2081882595470333	Facebook	100_1k	100 - 1k	RO	Romania	1	1	53547	26773	562	112
Vasile Cristian Lungu - Senator PMP	Partidul Mișcarea Populară	167669676772029	Facebook	100_1k	100 - 1k	RO	Romania	1	1	53547	26773	562	112
ALDE Municipiul Onești	Partidul Alianța Liberalilor și Democraților – ALDE	568655433550568	Facebook	100_1k	100 - 1k	RO	Romania	1	1	53547	26773	562	112
USR Gorj	Uniunea Salvați România	979274598853221	Facebook	100_1k	100 - 1k	RO	Romania	3	1	51172	11630	146	29
Todoran Adrian	Deputat Adrian Todoran	378450619599004	Facebook	100_1k	100 - 1k	RO	Romania	3	1	51172	11630	146	29
USR Orăștie	Uniunea Salvați România - USR	1777410579038877	Facebook	100_1k	100 - 1k	RO	Romania	1	1	49999	10000	209	105
USR Vulcan Hunedoara	Uniunea Salvați România - USR	506010959904405	Facebook	100_1k	100 - 1k	RO	Romania	1	1	49999	10000	209	105
Vlad Botoș	Uniunea Salvați România	404345336963581	Facebook	100_1k	100 - 1k	RO	Romania	1	1	49999	10000	209	105
Inițiativa România	Inițiativa România	1847959338763696	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
Cornel Popa	ETIS Design	362437290495506	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
Tudor Polak	ETIS Design	212588722543134	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
Viorel Badea	ETIS Design	161582543936194	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
Daniel Fenechiu	ETIS Design	125414364282605	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
trickSHOT Promenada		245584752293885	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
PLUS Dolj	Alianța 2020 USR-PLUS	2237102673235835	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
Crina Fiorela Chilat	Groza	658327497957684	Facebook	100_1k	100 - 1k	RO	Romania	1	1	46521	23260	48	9
Gheorghiu Bogdan	ETIS Design	267044410338956	Facebook	100_1k	100 - 1k	RO	Romania	2	1	46520	9304	97	19
trickSHOT Mega Mall		1377058365719163	Facebook	100_1k	100 - 1k	RO	Romania	2	1	46520	9304	97	19
USR Jibou	Uniunea Salvati Romania Filala Salaj	1133497573372670	Facebook	100_1k	100 - 1k	RO	Romania	2	1	46520	9304	97	19
Marius Pașcan - Partidul Mișcarea Populară Mureș	Amerisoft	401741783276003	Facebook	100_1k	100 - 1k	RO	Romania	2	1	46520	9304	97	19
USR Deva	Uniunea Salvați România - USR	712674922236299	Facebook	100_1k	100 - 1k	RO	Romania	2	1	46520	9304	97	19
PLUS Bihor		444983296035846	Facebook	100_1k	100 - 1k	RO	Romania	2	1	46520	9304	97	19
ETUC		129041250601685	Facebook	100_1k	100 - 1k	RO	Romania	1	1	28420	5684	283	56
Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	100_1k	100 - 1k	RO	Romania	1	1	24053	4810	240	48
Corina Cretu	Corina Cretu	200813406761691	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Csomortányi István	Erdélyi Magyar Néppárt	450693115669004	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Monica Luisa Macovei	MACOVEI MONICA-LUISA	130380413723811	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
George Ionescu	ETIS Design	582553551948127	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Sabotorii Gorjului	Sabotorii Gorjului	1341038645918998	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
MozaiQ	MozaiQ	1156150484398630	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Interzis la stânga	ETIS Design	798375087197159	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Eugen Țapu-Nazare	ETIS Design	276092909160685	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Tanase Stamule		106620659474852	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Naomi Reniuț-Ursoiu	Uniunea Salvați România	708334336169853	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Dan Vîlceanu	ETIS Design	715786165255092	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Bogdan Huţucă	ETIS Design	370816919755641	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Angelica Fădor	ETIS Design	121716891884587	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Antoneta Ioniță	ETIS Design	560400854158794	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Elena Uram		274006426583660	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Dragos Benea	Partidul Social Democrat	447787405313835	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Brăila Nouă		146127302873492	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Radu Sidea	SIDEA RADU-IULIAN	171269757089977	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Reper24h	Reper24h	271881082995170	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
PNL Bihor	Future Innovation	788779771236776	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
PMP Galați		340770676112984	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Năvodari	Uniunea Salvați România filiala Constanța	1859195804406999	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Valu lui Traian	Uniunea Salvați România filiala Constanța	390126071746919	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Eforie	Uniunea Salvați România filiala Constanța	417548315383738	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Cernavodă	Uniunea Salvați România filiala Constanța	161790827804214	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Medgidia		877455379022963	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Techirghiol	Uniunea Salvați România filiala Constanța	2061843587234288	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Cumpăna	Uniunea Salvați România filiala Constanța	2049581168631299	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Rasova	Uniunea Salvați România filiala Constanța	1848769768505779	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Limanu	Uniunea Salvați România filiala Constanța	1955680077891740	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Corbu		2171851679794048	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Mihail Kogălniceanu	Uniunea Salvați România filiala Constanța	296875844315712	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Mangalia	Uniunea Salvați România filiala Constanța	283727512100172	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Lumina	Uniunea Salvați România filiala Constanța	186923048606341	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Silvia Dinică	Silvia Dinică	1128229287275038	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Europe Direct Regiunea Centru		146911762151935	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Cehu Silvaniei	Uniunea Salvati Romania Filala Salaj	879029628954000	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Cristina Iurisniti Deputat USR BN	Stan Calin	745975698891864	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Petroșani	Uniunea Salvați România - USR	1624764627827202	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Filimon Tezolato	FILIMON-TEZOLATO ADRIAN	319400161992089	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Hațeg	Uniunea Salvați România - USR	426799654422553	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
Mihaiela Pop		408198606674897	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23260	4652	48	9
USR Baneasa	Uniunea Salvați România filiala Constanța	1018805581657311	Facebook	100_1k	100 - 1k	RO	Romania	1	1	23243	4648	48	9
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	100_1k	100 - 1k	RO	Romania	1	1	17594	8797	87	17
CRIF		395919323779707	Facebook	100_1k	100 - 1k	RO	Romania	1	1	10890	5445	54	10
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	100_1k	100 - 1k	RO	Romania	1	1	6214	3107	15	3
UNPR Sector 6		1499561713619805	Facebook	100_1k	100 - 1k	RO	Romania	1	1	4651	2326	48	9
Big News Buzz		125179374733697	Facebook	100_1k	100 - 1k	RO	Romania	1	1	1654	827	7	3
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	100_1k	100 - 1k	RO	Romania	1	1	111	22	0	0
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	100_1k	100 - 1k	RO	Romania	5	1	31	8	0	0
Ujhelyi István dr.	MSZP	734217673259088	Facebook	100_1k	100 - 1k	RO	Romania	1	1	31	15	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	100_1k	100 - 1k	RO	Romania	1	1	25	10	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	100_1k	100 - 1k	RO	Romania	1	1	10	2	0	0
