advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Tomasz Jaskóła - Kukiz'15	Dariusz Witold Mierzwa	676871362347131	Facebook	w020	Week 20	PL	Poland	2	1	68749	28749	101	20
Tomasz Latos		308684629246305	Facebook	w020	Week 20	PL	Poland	1	1	66666	33333	154	77
Justyna Żalek	Komitet Wyborczy KW Prawo i Sprawiedliwość	548488178922480	Facebook	w020	Week 20	PL	Poland	4	1	65996	16000	185	23
You Vote EU Polska		1923072537771358	Facebook	w020	Week 20	PL	Poland	3	1	65944	26302	72	13
Tomasz Frankowski	KWW Koalicja Europejska PO PSL SLD .N Zieloni	2273340699395517	Facebook	w020	Week 20	PL	Poland	7	1	65327	19000	136	0
Krzysztof Śmiszek	KW Wiosna Roberta Biedronia	954692934606047	Facebook	w020	Week 20	PL	Poland	3	1	64997	12999	162	27
Bogusław Sonik	KWW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI	75775141409	Facebook	w020	Week 20	PL	Poland	56	1	64446	2700	1236	0
SLD Warmia i Mazury - Koalicja Europejska	Cityboard Media Sp. z o.o.	150062391754212	Facebook	w020	Week 20	PL	Poland	2	1	62498	12500	145	29
Kosma Złotowski		1477251852486946	Facebook	w020	Week 20	PL	Poland	6	1	62485	12882	151	23
Bolesław Piecha - poseł do Parlamentu Europejskiego	Agencja reklamowa NXT	704363502985858	Facebook	w020	Week 20	PL	Poland	30	1	60297	9487	411	0
Jakub Ziółkowski		728590287185661	Facebook	w020	Week 20	PL	Poland	2	1	59998	12000	139	27
Marek Opioła	Komitet Wyborczy Prawo i Sprawiedliwość	218944008135842	Facebook	w020	Week 20	PL	Poland	2	1	59997	14999	232	46
Joanna Karpowicz	Uczelnia Jańskiego w Łomży	320757495290279	Facebook	w020	Week 20	PL	Poland	7	1	58662	14333	99	0
Beata Mazurek		564941230235866	Facebook	w020	Week 20	PL	Poland	2	1	57141	11428	730	146
Hanna Gill-Piątek	KW Wiosna Roberta Biedronia	1025086447521656	Facebook	w020	Week 20	PL	Poland	4	1	52843	10249	158	23
Joanna Kopcińska	KW Prawo i Sprawiedliowość	1324558754300684	Facebook	w020	Week 20	PL	Poland	2	1	52786	10557	122	24
Marcin Bosacki	KWW Koalicja Europejska PO PSL SLD .N Zieloni	325783984956664	Facebook	w020	Week 20	PL	Poland	2	1	51665	10333	123	23
Adam Traczyk	KW Wiosna Roberta Biedronia	385541738945328	Facebook	w020	Week 20	PL	Poland	2	1	50998	10000	139	23
03 PRUŚ Sylwester Zbigniew	Medium: agencja reklamowa	664122587050787	Facebook	w020	Week 20	PL	Poland	2	1	50998	10000	139	23
Paweł Wojtunik	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N ZIELONI	406777400148454	Facebook	w020	Week 20	PL	Poland	1	1	49999	10000	23	0
Pokonaj Raka Piersi	Katarzyna Karolina Stachowicz	847950485383153	Facebook	w020	Week 20	PL	Poland	1	1	49999	10000	116	23
Magdalena Gałkiewicz - Partia Zieloni	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	2141505889506223	Facebook	w020	Week 20	PL	Poland	1	1	49999	10000	116	23
Plastic Free Polska	Plastic Free Polska	2162232717176151	Facebook	w020	Week 20	PL	Poland	5	1	49957	9658	95	0
Wojciech Czypicki	KW Wiosna Roberta Biedroni	403357120492005	Facebook	w020	Week 20	PL	Poland	2	1	44998	8999	115	18
Paweł Tanajno	Paweł Jan Tanajno	469702339755768	Facebook	w020	Week 20	PL	Poland	5	1	44727	10079	177	26
Nomada Stowarzyszenie		114318528622863	Facebook	w020	Week 20	PL	Poland	8	1	42075	19238	21	2
Urszula Sara Zielińska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	505787423224273	Facebook	w020	Week 20	PL	Poland	2	1	36665	7333	92	15
