advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
INSEAD		164840743574941	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	564	282	0	0
Holzkern		550085078491459	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	552	276	5	2
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	516	258	2	0
Les Enfants Créatifs By Human Society		647143909040616	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	505	252	0	0
European Youth		130456876990360	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	459	229	2	0
ZAFUL		916028728426822	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	434	217	1	0
Streetpit		658189304534663	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	434	217	0	0
NATO Strategic Communications Centre of Excellence		1456516717932002	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	394	197	0	0
Thuisverpleging		372390586890911	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	375	187	0	0
Kim De Witte	PVDA	315662412174661	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	337	169	1	0
UB40		267046415289	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	337	168	1	0
Rise for Climate Belgium: Citizen Mobilization to save Humanity		458512257969541	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	303	151	1	0
Redfish		349920542118450	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	274	137	0	0
Lode Ceyssens	Lode Ceyssens	690224427744073	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	260	130	1	0
Daniel Freund	Bündnis 90 / Die Grünen Kreisverband Aachen	566872987051379	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	250	125	1	0
NewsMavens		145218379355757	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	219	109	0	0
Mamakis		193632804541995	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	196	98	0	0
eToro		193863317737	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	187	93	0	0
