advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Chug Bottles		1781974005205686	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	76	38	0	0
Coconut Bowls		451945511677873	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	22	1	75	22	0	0
Ivana Maletić		561599087278335	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	75	11	1	0
East Meet East		565982140109779	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	71	35	0	0
V4 Report		267474873666087	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	70	14	1	0
TaxEduportal		828411763950694	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	70	14	0	0
FontBundles.net		1653056048283270	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	70	28	0	0
Model European Union Zagreb - MEUZ		521874817895935	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	69	13	1	0
NEOS X - 10. Bundesland		613891652052880	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	67	13	0	0
SEAC scuba - snorkeling - freediving		110780655713826	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	67	33	0	0
eutopia		1407046686105940	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	65	32	0	0
IPPF European Network		1639235713010069	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	63	12	0	0
Guardian B2B		452752128144314	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	62	31	0	0
Radio Slobodna Evropa - Balkanski Servis		196390633882	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	62	12	0	0
We Amplify		186008238755917	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	62	12	0	0
EU Gateway Business Avenues		1878683232394649	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	60	12	0	0
Matthew Hussey		525275707491504	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	60	24	0	0
Subpod		839183619577851	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	59	11	0	0
packiteco		1331461700293350	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	56	11	0	0
NewsMavens		145218379355757	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	54	22	0	0
World Youth Academy		155365641152627	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	54	10	0	0
World Food Programme		28312410177	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	50	10	0	0
Intimina		127412964006704	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	49	10	0	0
