advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
innogy Slovensko		1507642339525848	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Jozef Želinský	Most-Híd (Híd-Most)	835812956480436	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	997	0	98	0
Most-Híd (Híd-Most)	Most-Híd (Híd-Most)	353195602108	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	995	0	98	0
Zuzana Csadyová	Most-Híd (Híd-Most)	298887710803466	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	995	0	98	0
Progresívne Slovensko je Socialistická strana		353162348864715	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	979	0	97	0
Martin Dubovanský		1709122152450762	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	969	0	96	0
Díky, čauko plasty		338985149869725	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	903	0	89	0
Ivan Štefunko • Progresívne Slovensko		1664533523674012	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	647	0	64	0
Körkép		62854026816	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	512	0	50	0
SuperBee Wax Wraps		207082576296571	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	325	0	2	0
Asociatia Be You		450408968493285	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	184	0	3	0
Zoeetoys		690269048038800	Facebook	0_1k	0 - 1k	SK	Slovakia	9	1	176	0	15	0
Tafani's		306374169790036	Facebook	0_1k	0 - 1k	SK	Slovakia	11	1	163	0	1	0
Coconut Bowls		451945511677873	Facebook	0_1k	0 - 1k	SK	Slovakia	6	1	134	0	8	0
Minority SafePack		532492010145546	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	115	0	11	0
Henkel Careers		301655703240307	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	109	0	10	0
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	97	0	8	0
Gearbest Shopping		794881967312716	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	91	0	8	0
Exponea		437489159794764	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	85	0	8	0
Kialo		729627343834501	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	76	0	6	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	71	0	7	0
V4 Report		267474873666087	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	64	0	5	0
Let's Shop		232205540763784	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	63	0	5	0
LGBTstyle		839131319627314	Facebook	0_1k	0 - 1k	SK	Slovakia	14	1	62	0	5	0
Lucia Zakopčanová		526876627767557	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	60	0	5	0
Esri		211211155280	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	56	0	4	0
ArT-CLIC		792807861092293	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	54	0	5	0
Best Tech Crowdfunding Videos		615071652029076	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	52	0	4	0
The Commentator		165460240178275	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	52	0	4	0
Open Society Foundations		18983389920	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	47	0	4	0
THTC - The Hemp Trading Company		30239959348	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	46	0	5	0
Collision Conf		205093963028353	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	46	0	4	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	39	0	3	0
Treevotion		312276899356713	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	38	0	0	0
Giving Brush		1945237355733646	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	36	0	3	0
Cali Lili		404598562928218	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	32	0	2	0
On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	31	0	2	0
