advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Free Quran Education		388655174641163	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	0	0	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	vastmanland_county	Västmanland County	SE	Sweden	6	1	0	0	0	0
Socialdemokraterna i Eskilstuna	Socialdemokraterna i Eskilstuna 	272041890388	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
European Free Alliance	European Free Alliance	46708306425	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Socialdemokraterna Hässleholm	Hässleholms Socialdemokratiska arbetarekommun	838924659467812	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Anders G Johansson	Johansson Anders Gustaf Werner	357659877249	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	0	0	0	0
EPP Group in the European Parliament	EPP Group in the European Parliament	291699857688	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
SSU Kalmar Län	SSU Kalmar län	241658249370356	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
dom-i-NEEK		260052198180831	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
